,breed,file,xmin,ymin,xmax,ymax,foldername,filename,dog_number,prepfilename,xdelta,ydelta
n02090721_2964,Irish_wolfhound,n02090721_2964,0.0,36.0,297.0,498.0,02090721,n02090721_2964,1,n02090721_2964-Irish_wolfhound_cr1,297.0,462.0
n02090721_2967,Irish_wolfhound,n02090721_2967,54.0,78.0,463.0,311.0,02090721,n02090721_2967,1,n02090721_2967-Irish_wolfhound_cr1,409.0,233.0
n02090721_3034,Irish_wolfhound,n02090721_3034,6.0,0.0,206.0,205.0,02090721,n02090721_3034,1,n02090721_3034-Irish_wolfhound_cr1,200.0,205.0
n02090721_309,Irish_wolfhound,n02090721_309,39.0,16.0,499.0,332.0,02090721,n02090721_309,1,n02090721_309-Irish_wolfhound_cr1,460.0,316.0
n02090721_3109,Irish_wolfhound,n02090721_3109,0.0,28.0,410.0,393.0,02090721,n02090721_3109,1,n02090721_3109-Irish_wolfhound_cr1,410.0,365.0
n02090721_311,Irish_wolfhound,n02090721_311,10.0,42.0,499.0,366.0,02090721,n02090721_311,1,n02090721_311-Irish_wolfhound_cr1,489.0,324.0
n02090721_3120,Irish_wolfhound,n02090721_3120,103.0,18.0,377.0,373.0,02090721,n02090721_3120,1,n02090721_3120-Irish_wolfhound_cr1,274.0,355.0
n02090721_3129,Irish_wolfhound,n02090721_3129,204.0,81.0,295.0,274.0,02090721,n02090721_3129,1,n02090721_3129-Irish_wolfhound_cr1,91.0,193.0
n02090721_3136,Irish_wolfhound,n02090721_3136,67.0,75.0,242.0,283.0,02090721,n02090721_3136,1,n02090721_3136-Irish_wolfhound_cr1,175.0,208.0
n02090721_3149,Irish_wolfhound,n02090721_3149,266.0,170.0,351.0,259.0,02090721,n02090721_3149,3,n02090721_3149-Irish_wolfhound_cr3,85.0,89.0
n02090721_327,Irish_wolfhound,n02090721_327,116.0,127.0,311.0,374.0,02090721,n02090721_327,1,n02090721_327-Irish_wolfhound_cr1,195.0,247.0
n02090721_3302,Irish_wolfhound,n02090721_3302,252.0,23.0,423.0,167.0,02090721,n02090721_3302,3,n02090721_3302-Irish_wolfhound_cr3,171.0,144.0
n02090721_3398,Irish_wolfhound,n02090721_3398,0.0,1.0,499.0,374.0,02090721,n02090721_3398,1,n02090721_3398-Irish_wolfhound_cr1,499.0,373.0
n02090721_3417,Irish_wolfhound,n02090721_3417,80.0,386.0,131.0,455.0,02090721,n02090721_3417,3,n02090721_3417-Irish_wolfhound_cr3,51.0,69.0
n02090721_342,Irish_wolfhound,n02090721_342,8.0,25.0,454.0,316.0,02090721,n02090721_342,1,n02090721_342-Irish_wolfhound_cr1,446.0,291.0
n02090721_3470,Irish_wolfhound,n02090721_3470,16.0,12.0,292.0,367.0,02090721,n02090721_3470,1,n02090721_3470-Irish_wolfhound_cr1,276.0,355.0
n02090721_348,Irish_wolfhound,n02090721_348,176.0,46.0,263.0,176.0,02090721,n02090721_348,1,n02090721_348-Irish_wolfhound_cr1,87.0,130.0
n02090721_3500,Irish_wolfhound,n02090721_3500,84.0,74.0,363.0,234.0,02090721,n02090721_3500,1,n02090721_3500-Irish_wolfhound_cr1,279.0,160.0
n02090721_3527,Irish_wolfhound,n02090721_3527,302.0,23.0,458.0,288.0,02090721,n02090721_3527,1,n02090721_3527-Irish_wolfhound_cr1,156.0,265.0
n02090721_3555,Irish_wolfhound,n02090721_3555,281.0,145.0,453.0,361.0,02090721,n02090721_3555,2,n02090721_3555-Irish_wolfhound_cr2,172.0,216.0
n02090721_3564,Irish_wolfhound,n02090721_3564,129.0,1.0,495.0,374.0,02090721,n02090721_3564,1,n02090721_3564-Irish_wolfhound_cr1,366.0,373.0
n02090721_363,Irish_wolfhound,n02090721_363,95.0,102.0,382.0,352.0,02090721,n02090721_363,1,n02090721_363-Irish_wolfhound_cr1,287.0,250.0
n02090721_3667,Irish_wolfhound,n02090721_3667,0.0,108.0,373.0,497.0,02090721,n02090721_3667,1,n02090721_3667-Irish_wolfhound_cr1,373.0,389.0
n02090721_3761,Irish_wolfhound,n02090721_3761,260.0,107.0,494.0,295.0,02090721,n02090721_3761,1,n02090721_3761-Irish_wolfhound_cr1,234.0,188.0
n02090721_3763,Irish_wolfhound,n02090721_3763,0.0,13.0,393.0,498.0,02090721,n02090721_3763,1,n02090721_3763-Irish_wolfhound_cr1,393.0,485.0
n02090721_3771,Irish_wolfhound,n02090721_3771,54.0,39.0,455.0,374.0,02090721,n02090721_3771,1,n02090721_3771-Irish_wolfhound_cr1,401.0,335.0
n02090721_3773,Irish_wolfhound,n02090721_3773,36.0,98.0,390.0,374.0,02090721,n02090721_3773,1,n02090721_3773-Irish_wolfhound_cr1,354.0,276.0
n02090721_3787,Irish_wolfhound,n02090721_3787,0.0,232.0,222.0,483.0,02090721,n02090721_3787,1,n02090721_3787-Irish_wolfhound_cr1,222.0,251.0
n02090721_3811,Irish_wolfhound,n02090721_3811,199.0,224.0,305.0,428.0,02090721,n02090721_3811,1,n02090721_3811-Irish_wolfhound_cr1,106.0,204.0
n02090721_3866,Irish_wolfhound,n02090721_3866,117.0,72.0,331.0,498.0,02090721,n02090721_3866,1,n02090721_3866-Irish_wolfhound_cr1,214.0,426.0
n02090721_3900,Irish_wolfhound,n02090721_3900,158.0,113.0,387.0,295.0,02090721,n02090721_3900,1,n02090721_3900-Irish_wolfhound_cr1,229.0,182.0
n02090721_3940,Irish_wolfhound,n02090721_3940,151.0,171.0,249.0,470.0,02090721,n02090721_3940,1,n02090721_3940-Irish_wolfhound_cr1,98.0,299.0
n02090721_3999,Irish_wolfhound,n02090721_3999,11.0,169.0,497.0,303.0,02090721,n02090721_3999,2,n02090721_3999-Irish_wolfhound_cr2,486.0,134.0
n02090721_4006,Irish_wolfhound,n02090721_4006,170.0,59.0,499.0,374.0,02090721,n02090721_4006,1,n02090721_4006-Irish_wolfhound_cr1,329.0,315.0
n02090721_4015,Irish_wolfhound,n02090721_4015,12.0,20.0,486.0,394.0,02090721,n02090721_4015,1,n02090721_4015-Irish_wolfhound_cr1,474.0,374.0
n02090721_4032,Irish_wolfhound,n02090721_4032,245.0,211.0,378.0,438.0,02090721,n02090721_4032,1,n02090721_4032-Irish_wolfhound_cr1,133.0,227.0
n02090721_4073,Irish_wolfhound,n02090721_4073,4.0,0.0,376.0,374.0,02090721,n02090721_4073,1,n02090721_4073-Irish_wolfhound_cr1,372.0,374.0
n02090721_4089,Irish_wolfhound,n02090721_4089,202.0,184.0,283.0,295.0,02090721,n02090721_4089,2,n02090721_4089-Irish_wolfhound_cr2,81.0,111.0
n02090721_4092,Irish_wolfhound,n02090721_4092,101.0,10.0,315.0,482.0,02090721,n02090721_4092,1,n02090721_4092-Irish_wolfhound_cr1,214.0,472.0
n02090721_4095,Irish_wolfhound,n02090721_4095,57.0,58.0,378.0,237.0,02090721,n02090721_4095,1,n02090721_4095-Irish_wolfhound_cr1,321.0,179.0
n02090721_4129,Irish_wolfhound,n02090721_4129,115.0,175.0,329.0,374.0,02090721,n02090721_4129,1,n02090721_4129-Irish_wolfhound_cr1,214.0,199.0
n02090721_4130,Irish_wolfhound,n02090721_4130,0.0,55.0,475.0,307.0,02090721,n02090721_4130,2,n02090721_4130-Irish_wolfhound_cr2,475.0,252.0
n02090721_4133,Irish_wolfhound,n02090721_4133,139.0,98.0,273.0,254.0,02090721,n02090721_4133,3,n02090721_4133-Irish_wolfhound_cr3,134.0,156.0
n02090721_4188,Irish_wolfhound,n02090721_4188,64.0,115.0,275.0,213.0,02090721,n02090721_4188,1,n02090721_4188-Irish_wolfhound_cr1,211.0,98.0
n02090721_4200,Irish_wolfhound,n02090721_4200,220.0,26.0,498.0,314.0,02090721,n02090721_4200,2,n02090721_4200-Irish_wolfhound_cr2,278.0,288.0
n02090721_4203,Irish_wolfhound,n02090721_4203,116.0,22.0,358.0,374.0,02090721,n02090721_4203,1,n02090721_4203-Irish_wolfhound_cr1,242.0,352.0
n02090721_4207,Irish_wolfhound,n02090721_4207,40.0,52.0,430.0,295.0,02090721,n02090721_4207,2,n02090721_4207-Irish_wolfhound_cr2,390.0,243.0
n02090721_4276,Irish_wolfhound,n02090721_4276,1.0,144.0,32.0,209.0,02090721,n02090721_4276,3,n02090721_4276-Irish_wolfhound_cr3,31.0,65.0
n02090721_4290,Irish_wolfhound,n02090721_4290,180.0,163.0,269.0,292.0,02090721,n02090721_4290,2,n02090721_4290-Irish_wolfhound_cr2,89.0,129.0
n02090721_4302,Irish_wolfhound,n02090721_4302,56.0,236.0,328.0,571.0,02090721,n02090721_4302,1,n02090721_4302-Irish_wolfhound_cr1,272.0,335.0
n02090721_4304,Irish_wolfhound,n02090721_4304,56.0,127.0,402.0,292.0,02090721,n02090721_4304,1,n02090721_4304-Irish_wolfhound_cr1,346.0,165.0
n02090721_4309,Irish_wolfhound,n02090721_4309,178.0,99.0,255.0,257.0,02090721,n02090721_4309,1,n02090721_4309-Irish_wolfhound_cr1,77.0,158.0
n02090721_4326,Irish_wolfhound,n02090721_4326,28.0,55.0,499.0,332.0,02090721,n02090721_4326,1,n02090721_4326-Irish_wolfhound_cr1,471.0,277.0
n02090721_4333,Irish_wolfhound,n02090721_4333,1.0,18.0,362.0,374.0,02090721,n02090721_4333,1,n02090721_4333-Irish_wolfhound_cr1,361.0,356.0
n02090721_4341,Irish_wolfhound,n02090721_4341,111.0,69.0,353.0,332.0,02090721,n02090721_4341,1,n02090721_4341-Irish_wolfhound_cr1,242.0,263.0
n02090721_4349,Irish_wolfhound,n02090721_4349,0.0,18.0,313.0,332.0,02090721,n02090721_4349,1,n02090721_4349-Irish_wolfhound_cr1,313.0,314.0
n02090721_4353,Irish_wolfhound,n02090721_4353,0.0,230.0,152.0,438.0,02090721,n02090721_4353,3,n02090721_4353-Irish_wolfhound_cr3,152.0,208.0
n02090721_4362,Irish_wolfhound,n02090721_4362,0.0,57.0,468.0,385.0,02090721,n02090721_4362,1,n02090721_4362-Irish_wolfhound_cr1,468.0,328.0
n02090721_4376,Irish_wolfhound,n02090721_4376,116.0,33.0,370.0,325.0,02090721,n02090721_4376,1,n02090721_4376-Irish_wolfhound_cr1,254.0,292.0
n02090721_4433,Irish_wolfhound,n02090721_4433,133.0,115.0,301.0,266.0,02090721,n02090721_4433,1,n02090721_4433-Irish_wolfhound_cr1,168.0,151.0
n02090721_448,Irish_wolfhound,n02090721_448,250.0,236.0,375.0,332.0,02090721,n02090721_448,3,n02090721_448-Irish_wolfhound_cr3,125.0,96.0
n02090721_452,Irish_wolfhound,n02090721_452,70.0,64.0,382.0,330.0,02090721,n02090721_452,1,n02090721_452-Irish_wolfhound_cr1,312.0,266.0
n02090721_464,Irish_wolfhound,n02090721_464,95.0,93.0,267.0,374.0,02090721,n02090721_464,1,n02090721_464-Irish_wolfhound_cr1,172.0,281.0
n02090721_465,Irish_wolfhound,n02090721_465,116.0,94.0,499.0,368.0,02090721,n02090721_465,1,n02090721_465-Irish_wolfhound_cr1,383.0,274.0
n02090721_471,Irish_wolfhound,n02090721_471,34.0,71.0,462.0,255.0,02090721,n02090721_471,1,n02090721_471-Irish_wolfhound_cr1,428.0,184.0
n02090721_4849,Irish_wolfhound,n02090721_4849,46.0,91.0,155.0,426.0,02090721,n02090721_4849,1,n02090721_4849-Irish_wolfhound_cr1,109.0,335.0
n02090721_503,Irish_wolfhound,n02090721_503,137.0,71.0,194.0,163.0,02090721,n02090721_503,3,n02090721_503-Irish_wolfhound_cr3,57.0,92.0
n02090721_5049,Irish_wolfhound,n02090721_5049,135.0,170.0,262.0,431.0,02090721,n02090721_5049,1,n02090721_5049-Irish_wolfhound_cr1,127.0,261.0
n02090721_5172,Irish_wolfhound,n02090721_5172,145.0,125.0,473.0,445.0,02090721,n02090721_5172,1,n02090721_5172-Irish_wolfhound_cr1,328.0,320.0
n02090721_519,Irish_wolfhound,n02090721_519,0.0,247.0,183.0,374.0,02090721,n02090721_519,2,n02090721_519-Irish_wolfhound_cr2,183.0,127.0
n02090721_5197,Irish_wolfhound,n02090721_5197,0.0,18.0,474.0,407.0,02090721,n02090721_5197,1,n02090721_5197-Irish_wolfhound_cr1,474.0,389.0
n02090721_521,Irish_wolfhound,n02090721_521,153.0,107.0,457.0,332.0,02090721,n02090721_521,1,n02090721_521-Irish_wolfhound_cr1,304.0,225.0
n02090721_537,Irish_wolfhound,n02090721_537,156.0,116.0,285.0,331.0,02090721,n02090721_537,3,n02090721_537-Irish_wolfhound_cr3,129.0,215.0
n02090721_5373,Irish_wolfhound,n02090721_5373,178.0,64.0,495.0,356.0,02090721,n02090721_5373,1,n02090721_5373-Irish_wolfhound_cr1,317.0,292.0
n02090721_5465,Irish_wolfhound,n02090721_5465,160.0,46.0,379.0,332.0,02090721,n02090721_5465,1,n02090721_5465-Irish_wolfhound_cr1,219.0,286.0
n02090721_550,Irish_wolfhound,n02090721_550,84.0,143.0,494.0,265.0,02090721,n02090721_550,1,n02090721_550-Irish_wolfhound_cr1,410.0,122.0
n02090721_5518,Irish_wolfhound,n02090721_5518,162.0,171.0,410.0,284.0,02090721,n02090721_5518,1,n02090721_5518-Irish_wolfhound_cr1,248.0,113.0
n02090721_552,Irish_wolfhound,n02090721_552,115.0,121.0,457.0,431.0,02090721,n02090721_552,1,n02090721_552-Irish_wolfhound_cr1,342.0,310.0
n02090721_5536,Irish_wolfhound,n02090721_5536,33.0,35.0,161.0,323.0,02090721,n02090721_5536,1,n02090721_5536-Irish_wolfhound_cr1,128.0,288.0
n02090721_5716,Irish_wolfhound,n02090721_5716,0.0,0.0,360.0,433.0,02090721,n02090721_5716,1,n02090721_5716-Irish_wolfhound_cr1,360.0,433.0
n02090721_5722,Irish_wolfhound,n02090721_5722,221.0,101.0,410.0,282.0,02090721,n02090721_5722,2,n02090721_5722-Irish_wolfhound_cr2,189.0,181.0
n02090721_5759,Irish_wolfhound,n02090721_5759,25.0,13.0,195.0,249.0,02090721,n02090721_5759,1,n02090721_5759-Irish_wolfhound_cr1,170.0,236.0
n02090721_5880,Irish_wolfhound,n02090721_5880,13.0,84.0,498.0,331.0,02090721,n02090721_5880,1,n02090721_5880-Irish_wolfhound_cr1,485.0,247.0
n02090721_5914,Irish_wolfhound,n02090721_5914,5.0,73.0,292.0,418.0,02090721,n02090721_5914,1,n02090721_5914-Irish_wolfhound_cr1,287.0,345.0
n02090721_6007,Irish_wolfhound,n02090721_6007,97.0,84.0,330.0,326.0,02090721,n02090721_6007,1,n02090721_6007-Irish_wolfhound_cr1,233.0,242.0
n02090721_6051,Irish_wolfhound,n02090721_6051,42.0,28.0,434.0,356.0,02090721,n02090721_6051,1,n02090721_6051-Irish_wolfhound_cr1,392.0,328.0
n02090721_607,Irish_wolfhound,n02090721_607,55.0,71.0,454.0,372.0,02090721,n02090721_607,1,n02090721_607-Irish_wolfhound_cr1,399.0,301.0
n02090721_6212,Irish_wolfhound,n02090721_6212,71.0,68.0,352.0,229.0,02090721,n02090721_6212,1,n02090721_6212-Irish_wolfhound_cr1,281.0,161.0
n02090721_6219,Irish_wolfhound,n02090721_6219,22.0,1.0,335.0,418.0,02090721,n02090721_6219,1,n02090721_6219-Irish_wolfhound_cr1,313.0,417.0
n02090721_6232,Irish_wolfhound,n02090721_6232,66.0,104.0,318.0,262.0,02090721,n02090721_6232,1,n02090721_6232-Irish_wolfhound_cr1,252.0,158.0
n02090721_626,Irish_wolfhound,n02090721_626,121.0,33.0,339.0,332.0,02090721,n02090721_626,1,n02090721_626-Irish_wolfhound_cr1,218.0,299.0
n02090721_6279,Irish_wolfhound,n02090721_6279,95.0,94.0,498.0,369.0,02090721,n02090721_6279,1,n02090721_6279-Irish_wolfhound_cr1,403.0,275.0
n02090721_6337,Irish_wolfhound,n02090721_6337,17.0,182.0,231.0,488.0,02090721,n02090721_6337,1,n02090721_6337-Irish_wolfhound_cr1,214.0,306.0
n02090721_6437,Irish_wolfhound,n02090721_6437,258.0,77.0,427.0,275.0,02090721,n02090721_6437,1,n02090721_6437-Irish_wolfhound_cr1,169.0,198.0
n02090721_6453,Irish_wolfhound,n02090721_6453,58.0,152.0,258.0,498.0,02090721,n02090721_6453,1,n02090721_6453-Irish_wolfhound_cr1,200.0,346.0
n02090721_649,Irish_wolfhound,n02090721_649,0.0,72.0,295.0,279.0,02090721,n02090721_649,1,n02090721_649-Irish_wolfhound_cr1,295.0,207.0
n02090721_654,Irish_wolfhound,n02090721_654,74.0,9.0,367.0,374.0,02090721,n02090721_654,1,n02090721_654-Irish_wolfhound_cr1,293.0,365.0
n02090721_6617,Irish_wolfhound,n02090721_6617,97.0,77.0,445.0,276.0,02090721,n02090721_6617,1,n02090721_6617-Irish_wolfhound_cr1,348.0,199.0
n02090721_6650,Irish_wolfhound,n02090721_6650,1.0,22.0,451.0,332.0,02090721,n02090721_6650,1,n02090721_6650-Irish_wolfhound_cr1,450.0,310.0
n02090721_6715,Irish_wolfhound,n02090721_6715,40.0,57.0,218.0,340.0,02090721,n02090721_6715,2,n02090721_6715-Irish_wolfhound_cr2,178.0,283.0
n02090721_6762,Irish_wolfhound,n02090721_6762,75.0,31.0,498.0,373.0,02090721,n02090721_6762,1,n02090721_6762-Irish_wolfhound_cr1,423.0,342.0
n02090721_6999,Irish_wolfhound,n02090721_6999,112.0,49.0,280.0,304.0,02090721,n02090721_6999,1,n02090721_6999-Irish_wolfhound_cr1,168.0,255.0
n02090721_708,Irish_wolfhound,n02090721_708,231.0,18.0,435.0,124.0,02090721,n02090721_708,2,n02090721_708-Irish_wolfhound_cr2,204.0,106.0
n02090721_7104,Irish_wolfhound,n02090721_7104,186.0,208.0,286.0,373.0,02090721,n02090721_7104,1,n02090721_7104-Irish_wolfhound_cr1,100.0,165.0
n02090721_7155,Irish_wolfhound,n02090721_7155,0.0,72.0,224.0,372.0,02090721,n02090721_7155,2,n02090721_7155-Irish_wolfhound_cr2,224.0,300.0
n02090721_728,Irish_wolfhound,n02090721_728,75.0,56.0,235.0,466.0,02090721,n02090721_728,2,n02090721_728-Irish_wolfhound_cr2,160.0,410.0
n02090721_731,Irish_wolfhound,n02090721_731,85.0,67.0,256.0,332.0,02090721,n02090721_731,1,n02090721_731-Irish_wolfhound_cr1,171.0,265.0
n02090721_756,Irish_wolfhound,n02090721_756,142.0,65.0,261.0,241.0,02090721,n02090721_756,1,n02090721_756-Irish_wolfhound_cr1,119.0,176.0
n02090721_764,Irish_wolfhound,n02090721_764,3.0,216.0,330.0,478.0,02090721,n02090721_764,1,n02090721_764-Irish_wolfhound_cr1,327.0,262.0
n02090721_768,Irish_wolfhound,n02090721_768,244.0,138.0,304.0,254.0,02090721,n02090721_768,1,n02090721_768-Irish_wolfhound_cr1,60.0,116.0
n02090721_771,Irish_wolfhound,n02090721_771,106.0,122.0,300.0,458.0,02090721,n02090721_771,1,n02090721_771-Irish_wolfhound_cr1,194.0,336.0
n02090721_825,Irish_wolfhound,n02090721_825,36.0,141.0,365.0,332.0,02090721,n02090721_825,1,n02090721_825-Irish_wolfhound_cr1,329.0,191.0
n02090721_847,Irish_wolfhound,n02090721_847,54.0,103.0,198.0,423.0,02090721,n02090721_847,1,n02090721_847-Irish_wolfhound_cr1,144.0,320.0
n02090721_868,Irish_wolfhound,n02090721_868,9.0,48.0,324.0,333.0,02090721,n02090721_868,1,n02090721_868-Irish_wolfhound_cr1,315.0,285.0
n02090721_870,Irish_wolfhound,n02090721_870,0.0,16.0,344.0,329.0,02090721,n02090721_870,1,n02090721_870-Irish_wolfhound_cr1,344.0,313.0
n02090721_873,Irish_wolfhound,n02090721_873,224.0,45.0,450.0,363.0,02090721,n02090721_873,1,n02090721_873-Irish_wolfhound_cr1,226.0,318.0
n02090721_892,Irish_wolfhound,n02090721_892,76.0,205.0,239.0,448.0,02090721,n02090721_892,1,n02090721_892-Irish_wolfhound_cr1,163.0,243.0
n02090721_936,Irish_wolfhound,n02090721_936,11.0,106.0,381.0,390.0,02090721,n02090721_936,1,n02090721_936-Irish_wolfhound_cr1,370.0,284.0
n02090721_940,Irish_wolfhound,n02090721_940,183.0,116.0,288.0,177.0,02090721,n02090721_940,2,n02090721_940-Irish_wolfhound_cr2,105.0,61.0
n02090721_943,Irish_wolfhound,n02090721_943,30.0,175.0,232.0,379.0,02090721,n02090721_943,1,n02090721_943-Irish_wolfhound_cr1,202.0,204.0
n02090721_954,Irish_wolfhound,n02090721_954,38.0,190.0,246.0,346.0,02090721,n02090721_954,2,n02090721_954-Irish_wolfhound_cr2,208.0,156.0
n02090721_957,Irish_wolfhound,n02090721_957,50.0,67.0,244.0,498.0,02090721,n02090721_957,1,n02090721_957-Irish_wolfhound_cr1,194.0,431.0
n02090721_968,Irish_wolfhound,n02090721_968,11.0,11.0,288.0,200.0,02090721,n02090721_968,1,n02090721_968-Irish_wolfhound_cr1,277.0,189.0
n02090721_969,Irish_wolfhound,n02090721_969,224.0,27.0,322.0,246.0,02090721,n02090721_969,1,n02090721_969-Irish_wolfhound_cr1,98.0,219.0
n02090721_984,Irish_wolfhound,n02090721_984,92.0,29.0,446.0,332.0,02090721,n02090721_984,1,n02090721_984-Irish_wolfhound_cr1,354.0,303.0
n02091032_10079,Italian_greyhound,n02091032_10079,212.0,91.0,386.0,147.0,02091032,n02091032_10079,3,n02091032_10079-Italian_greyhound_cr3,174.0,56.0
n02091032_102,Italian_greyhound,n02091032_102,139.0,200.0,236.0,305.0,02091032,n02091032_102,1,n02091032_102-Italian_greyhound_cr1,97.0,105.0
n02091032_1030,Italian_greyhound,n02091032_1030,103.0,200.0,367.0,430.0,02091032,n02091032_1030,1,n02091032_1030-Italian_greyhound_cr1,264.0,230.0
n02091032_10300,Italian_greyhound,n02091032_10300,131.0,292.0,205.0,470.0,02091032,n02091032_10300,1,n02091032_10300-Italian_greyhound_cr1,74.0,178.0
n02091032_10314,Italian_greyhound,n02091032_10314,87.0,17.0,448.0,374.0,02091032,n02091032_10314,1,n02091032_10314-Italian_greyhound_cr1,361.0,357.0
n02091032_1034,Italian_greyhound,n02091032_1034,168.0,52.0,355.0,374.0,02091032,n02091032_1034,1,n02091032_1034-Italian_greyhound_cr1,187.0,322.0
n02091032_10352,Italian_greyhound,n02091032_10352,62.0,70.0,285.0,462.0,02091032,n02091032_10352,1,n02091032_10352-Italian_greyhound_cr1,223.0,392.0
n02091032_1041,Italian_greyhound,n02091032_1041,142.0,7.0,482.0,372.0,02091032,n02091032_1041,1,n02091032_1041-Italian_greyhound_cr1,340.0,365.0
n02091032_10435,Italian_greyhound,n02091032_10435,58.0,52.0,316.0,328.0,02091032,n02091032_10435,1,n02091032_10435-Italian_greyhound_cr1,258.0,276.0
n02091032_10449,Italian_greyhound,n02091032_10449,73.0,22.0,323.0,498.0,02091032,n02091032_10449,1,n02091032_10449-Italian_greyhound_cr1,250.0,476.0
n02091032_10507,Italian_greyhound,n02091032_10507,116.0,28.0,409.0,336.0,02091032,n02091032_10507,1,n02091032_10507-Italian_greyhound_cr1,293.0,308.0
n02091032_10644,Italian_greyhound,n02091032_10644,111.0,191.0,323.0,481.0,02091032,n02091032_10644,1,n02091032_10644-Italian_greyhound_cr1,212.0,290.0
n02091032_10688,Italian_greyhound,n02091032_10688,67.0,26.0,460.0,366.0,02091032,n02091032_10688,1,n02091032_10688-Italian_greyhound_cr1,393.0,340.0
n02091032_1071,Italian_greyhound,n02091032_1071,128.0,69.0,276.0,331.0,02091032,n02091032_1071,1,n02091032_1071-Italian_greyhound_cr1,148.0,262.0
n02091032_1072,Italian_greyhound,n02091032_1072,41.0,52.0,296.0,489.0,02091032,n02091032_1072,1,n02091032_1072-Italian_greyhound_cr1,255.0,437.0
n02091032_10984,Italian_greyhound,n02091032_10984,243.0,59.0,406.0,392.0,02091032,n02091032_10984,1,n02091032_10984-Italian_greyhound_cr1,163.0,333.0
n02091032_1100,Italian_greyhound,n02091032_1100,69.0,69.0,429.0,364.0,02091032,n02091032_1100,1,n02091032_1100-Italian_greyhound_cr1,360.0,295.0
n02091032_11062,Italian_greyhound,n02091032_11062,299.0,95.0,380.0,251.0,02091032,n02091032_11062,1,n02091032_11062-Italian_greyhound_cr1,81.0,156.0
n02091032_11088,Italian_greyhound,n02091032_11088,11.0,14.0,232.0,333.0,02091032,n02091032_11088,1,n02091032_11088-Italian_greyhound_cr1,221.0,319.0
n02091032_11119,Italian_greyhound,n02091032_11119,72.0,75.0,490.0,367.0,02091032,n02091032_11119,1,n02091032_11119-Italian_greyhound_cr1,418.0,292.0
n02091032_1121,Italian_greyhound,n02091032_1121,38.0,14.0,239.0,289.0,02091032,n02091032_1121,1,n02091032_1121-Italian_greyhound_cr1,201.0,275.0
n02091032_1140,Italian_greyhound,n02091032_1140,166.0,88.0,395.0,373.0,02091032,n02091032_1140,1,n02091032_1140-Italian_greyhound_cr1,229.0,285.0
n02091032_11549,Italian_greyhound,n02091032_11549,177.0,80.0,365.0,250.0,02091032,n02091032_11549,3,n02091032_11549-Italian_greyhound_cr3,188.0,170.0
n02091032_1158,Italian_greyhound,n02091032_1158,181.0,45.0,430.0,408.0,02091032,n02091032_1158,1,n02091032_1158-Italian_greyhound_cr1,249.0,363.0
n02091032_11626,Italian_greyhound,n02091032_11626,40.0,4.0,352.0,432.0,02091032,n02091032_11626,1,n02091032_11626-Italian_greyhound_cr1,312.0,428.0
n02091032_11660,Italian_greyhound,n02091032_11660,104.0,135.0,292.0,345.0,02091032,n02091032_11660,2,n02091032_11660-Italian_greyhound_cr2,188.0,210.0
n02091032_1170,Italian_greyhound,n02091032_1170,22.0,47.0,274.0,299.0,02091032,n02091032_1170,1,n02091032_1170-Italian_greyhound_cr1,252.0,252.0
n02091032_11812,Italian_greyhound,n02091032_11812,20.0,43.0,305.0,495.0,02091032,n02091032_11812,1,n02091032_11812-Italian_greyhound_cr1,285.0,452.0
n02091032_11843,Italian_greyhound,n02091032_11843,76.0,72.0,341.0,344.0,02091032,n02091032_11843,1,n02091032_11843-Italian_greyhound_cr1,265.0,272.0
n02091032_11998,Italian_greyhound,n02091032_11998,115.0,30.0,240.0,179.0,02091032,n02091032_11998,2,n02091032_11998-Italian_greyhound_cr2,125.0,149.0
n02091032_12013,Italian_greyhound,n02091032_12013,14.0,55.0,396.0,320.0,02091032,n02091032_12013,1,n02091032_12013-Italian_greyhound_cr1,382.0,265.0
n02091032_12113,Italian_greyhound,n02091032_12113,117.0,257.0,444.0,423.0,02091032,n02091032_12113,2,n02091032_12113-Italian_greyhound_cr2,327.0,166.0
n02091032_12144,Italian_greyhound,n02091032_12144,18.0,17.0,331.0,451.0,02091032,n02091032_12144,1,n02091032_12144-Italian_greyhound_cr1,313.0,434.0
n02091032_1228,Italian_greyhound,n02091032_1228,13.0,20.0,454.0,345.0,02091032,n02091032_1228,1,n02091032_1228-Italian_greyhound_cr1,441.0,325.0
n02091032_1248,Italian_greyhound,n02091032_1248,11.0,26.0,312.0,478.0,02091032,n02091032_1248,1,n02091032_1248-Italian_greyhound_cr1,301.0,452.0
n02091032_1266,Italian_greyhound,n02091032_1266,81.0,111.0,278.0,486.0,02091032,n02091032_1266,1,n02091032_1266-Italian_greyhound_cr1,197.0,375.0
n02091032_135,Italian_greyhound,n02091032_135,147.0,43.0,392.0,374.0,02091032,n02091032_135,1,n02091032_135-Italian_greyhound_cr1,245.0,331.0
n02091032_1358,Italian_greyhound,n02091032_1358,198.0,58.0,469.0,365.0,02091032,n02091032_1358,1,n02091032_1358-Italian_greyhound_cr1,271.0,307.0
n02091032_1360,Italian_greyhound,n02091032_1360,4.0,19.0,395.0,332.0,02091032,n02091032_1360,1,n02091032_1360-Italian_greyhound_cr1,391.0,313.0
n02091032_1389,Italian_greyhound,n02091032_1389,0.0,85.0,358.0,498.0,02091032,n02091032_1389,1,n02091032_1389-Italian_greyhound_cr1,358.0,413.0
